,App Name,Category,Rating,Reviews,Installs,Size,Price,Content Rating,Last Updated,Minimum Version,Latest Version
0,Subway Surfers,GAME_ARCADE,4.498130798,29834812.0,1000000000,85M,0,Everyone 10+,"March 7, 2019",4.1 and up,1.100.0
1,Temple Run 2,GAME_ACTION,4.329188824,8612822.0,500000000,Varies with device,0,Everyone,"March 27, 2019",4.1 and up,1.55.3
2,Pou,GAME_CASUAL,4.330340385,10752323.0,500000000,24M,0,Everyone,"May 25, 2018",4.0 and up,1.4.77
3,Hill Climb Racing,GAME_RACING,4.440124512,9257863.0,500000000,64M,0,Everyone,"March 19, 2019",4.2 and up,1.41.0
4,My Talking Tom,GAME_CASUAL,4.49166584,15569249.0,500000000,Varies with device,0,Everyone,"April 2, 2019",4.1 and up,5.2.3.326
5,Clash of Clans,GAME_STRATEGY,4.606214523,48401470.0,500000000,103M,0,Everyone 10+,"April 2, 2019",4.1 and up,11.446.11
6,Candy Crush Saga,GAME_CASUAL,4.450046062,24657922.0,500000000,85M,0,Everyone,"March 22, 2019",4.1 and up,1.147.0.2
7,Rolling Sky,GAME_BOARD,4.501663685,1225470.0,100000000,Varies with device,0,Everyone,"April 3, 2019",4.1 and up,Varies with device
8,Hungry Shark Evolution,GAME_ARCADE,4.499437332,6342001.0,100000000,99M,0,Teen,"March 12, 2019",4.1 and up,6.5.0
9,Magic Tiles 3,GAME_MUSIC,4.459713459,853262.0,100000000,Varies with device,0,Everyone,"April 3, 2019",4.1 and up,6.22.060
10,Pet Rescue Saga,GAME_CASUAL,4.33942318,3270328.0,100000000,95M,0,Everyone,"April 2, 2019",4.0 and up,1.170.12
11,Sonic Dash,GAME_ARCADE,4.466622353,4086667.0,100000000,94M,0,Everyone,"March 19, 2019",4.1 and up,4.1.0
12,Bubble Witch 2 Saga,GAME_CASUAL,4.333859444,2878716.0,100000000,Varies with device,0,Everyone,"March 28, 2019",Varies with device,Varies with device
13,Hay Day,GAME_CASUAL,4.484342575,10603980.0,100000000,99M,0,Everyone,"December 10, 2018",4.0.3 and up,1_41_17
14,Jetpack Joyride,GAME_ARCADE,4.405089855,4743015.0,100000000,101M,0,Everyone 10+,"March 19, 2019",4.1 and up,1.15.2
